cocktail_id,target_cell,source_cell,validation_set,factors_published,n_factors,factors_in_pool,factors_not_in_pool,pmid,first_author,year,journal,scoring_status,factor_ranks,top5_pct_recovery,top10_pct_recovery,notes
GLIAL-06,Microglia-like,Monocyte,Set 2 — Extended validation,CEBPA; PU.1; RUNX1,3,CEBPA; SPI1; RUNX1,,28132835,Abud,2017,Neuron,scored,CEBPA:#374(11.8%); SPI1:#302(9.5%); RUNX1:#171(5.4%),0/3,2/3,iPSC-like brain macrophage
ASTRO-01,Astrocyte,NG2 glia,Set 2 — Extended validation,SOX2; NKX2-2; OLIG2,3,SOX2; NKX2-2; OLIG2,,29520850,Nishiyama,2018,Glia,scored,SOX2:#229(7.2%); NKX2-2:#34(1.1%); OLIG2:#24(0.8%),2/3,3/3,Regional astrocyte
CARDIO-11,Pacemaker cell,Fibroblast,Set 2 — Extended validation,TBX18,1,TBX18,,25218857,Kapoor,2014,Nat Biotechnol,scored,TBX18:#56(1.8%),1/1,1/1,Single TF biological pacemaker
CARDIO-12,Cardiomyocyte,Fibroblast,Set 2 — Extended validation,MYOCD; ASCL1,2,MYOCD; ASCL1,,35294845,Wang,2022,Circulation,scored,MYOCD:#46(1.5%); ASCL1:#1061(33.5%),1/2,1/2,Two factor cardiac
CARDIO-13,Cardiomyocyte,Fibroblast,Set 2 — Extended validation,GATA4; MEF2C; TBX5; ZNF281,4,GATA4; MEF2C; TBX5; ZNF281,,31409188,Zhou,2019,Circ Res,scored,GATA4:#10(0.3%); MEF2C:#149(4.7%); TBX5:#3(0.1%); ZNF281:#730(23.1%),3/4,3/4,Enhanced GMT efficiency
CARDIO-14,Cardiomyocyte (matured),Fibroblast,Set 2 — Extended validation,GATA4; MEF2C; TBX5; ESRRG; MESP1; MYOCD; ZFPM2,7,GATA4; MEF2C; TBX5; ESRRG; MESP1; MYOCD,ZFPM2,various,Garry,2019,Circ Res,scored,GATA4:#10(0.3%); MEF2C:#149(4.7%); TBX5:#3(0.1%); ESRRG:#50(1.6%); MESP1:#35(1.1%); MYOCD:#46(1.5%); ZFPM2:not_in_pool,6/6,6/6,Seven factor human
ENDO-04,Endothelial,Fibroblast,Set 2 — Extended validation,ETV2,1,ETV2,,22855567,Lee,2012,Circulation,scored,ETV2:#240(7.6%),0/1,1/1,Single TF vascular
ENDO-05,Endothelial,Amniotic,Set 2 — Extended validation,ETV2; FOXC2; FOXO1,3,ETV2; FOXC2; FOXO1,,28966117,Ginsberg,2017,Cell Stem Cell,scored,ETV2:#240(7.6%); FOXC2:#23(0.7%); FOXO1:#255(8.1%),1/3,3/3,Enhanced maturation
BETA-05,Beta cell,Enterocyte,Set 2 — Extended validation,PDX1; MAFA; NEUROG3,3,PDX1; MAFA; NEUROG3,,24952464,Ariyachet,2014,Cell Stem Cell,scored,PDX1:#1(0.0%); MAFA:#11(0.3%); NEUROG3:#562(17.8%),2/3,2/3,Gut to endocrine
BETA-06,Beta cell,Duct cell,Set 2 — Extended validation,PDX1; MAFA; NGN3,3,PDX1; MAFA; NEUROG3,,31378464,Qadir,2019,Cell Metab,scored,PDX1:#1(0.0%); MAFA:#10(0.3%); NEUROG3:#540(17.1%),2/3,2/3,Ductal reprogramming
ALPHA-01,Alpha cell,Beta cell,Set 2 — Extended validation,ARX; PAX4 (knockdown),2,ARX; PAX4,,23602386,Bramswig,2013,Dev Cell,scored,ARX:#399(12.6%); PAX4:#23(0.7%),1/2,1/2,Endocrine interconversion
ENTEROCYTE-01,Enterocyte,Gastric,Set 2 — Extended validation,CDX2,1,CDX2,,11875003,Silberg,2002,Gastroenterology,scored,CDX2:#3(0.1%),1/1,1/1,Single TF intestinal
ENTEROCYTE-02,Intestinal,Gastric,Set 2 — Extended validation,CDX1; SALL4; KLF5,3,CDX1; SALL4; KLF5,,23091038,Fujii,2012,PNAS,scored,CDX1:#2(0.1%); SALL4:#165(5.2%); KLF5:#438(13.8%),1/3,2/3,Intestinal metaplasia
GOBLET-01,Goblet cell,Enterocyte,Set 2 — Extended validation,ATOH1,1,ATOH1,,17489882,VanDussen,2007,Gastroenterology,scored,ATOH1:#16(0.5%),1/1,1/1,Secretory specification
TUFT-01,Tuft cell,Intestinal stem,Set 2 — Extended validation,POU2F3,1,,POU2F3,various,Ohmoto,2020,Development,skipped: unmappable target: Tuft cell,,,,Taste cell-like
LUNG-01,AT2 cell,Fibroblast,Set 2 — Extended validation,FOXA2; NKX2-1; GATA6; SOX9,4,FOXA2; NKX2-1; GATA6; SOX9,,various,various,2020,Cell Rep,scored,FOXA2:#12(0.4%); NKX2-1:#2(0.1%); GATA6:#83(2.6%); SOX9:#68(2.1%),4/4,4/4,Alveolar type 2
LUNG-02,Club cell,AT2,Set 2 — Extended validation,SCGB1A1 activation,1,,SCGB1A1 activation,various,various,2019,Am J Resp Cell,skipped: no gene factors,,,,Distal airway
THYROID-01,Thyrocyte,ESC,Set 2 — Extended validation,PAX8; NKX2-1; FOXE1,3,,PAX8; NKX2-1; FOXE1,22258506,Antonica,2015,Nature,skipped: unmappable target: Thyrocyte,,,,Functional thyroid
THYROID-02,Thyrocyte,Fibroblast,Set 2 — Extended validation,PAX8; NKX2-1,2,,PAX8; NKX2-1,28366588,Ma,2017,Cell Stem Cell,skipped: unmappable target: Thyrocyte,,,,Two TF thyroid organoid
RPE-01,Retinal pigment epi,Fibroblast,Set 2 — Extended validation,OTX2; MITF; PAX6,3,OTX2; MITF; PAX6,,28344003,Zhu,2017,Stem Cell Reports,scored,OTX2:#881(27.8%); MITF:#107(3.4%); PAX6:#519(16.4%),1/3,1/3,RPE reprogramming
RGC-01,Retinal ganglion,Muller glia,Set 2 — Extended validation,ASCL1; BRN3B; NGN2,3,ASCL1; POU4F2; NEUROG2,,32414775,Xiao,2020,J Neurosci,scored,ASCL1:#60(1.9%); POU4F2:#374(11.8%); NEUROG2:#81(2.6%),2/3,2/3,Ganglion cell
LENS-01,Lens fiber,Fibroblast,Set 2 — Extended validation,PAX6; SOX2; PROX1,3,,PAX6; SOX2; PROX1,various,various,2018,Development,skipped: unmappable target: Lens fiber,,,,Lens differentiation
CORNEA-01,Corneal epithelial,Fibroblast,Set 2 — Extended validation,PAX6; KLF4,2,PAX6; KLF4,,various,various,2019,Stem Cell Res,scored,PAX6:#620(19.6%); KLF4:#20(0.6%),1/2,1/2,Ocular surface
SEBOCYTE-01,Sebocyte,Keratinocyte,Set 2 — Extended validation,PPARG; CEBPA,2,PPARG; CEBPA,,various,various,2018,J Invest Derm,scored,PPARG:#5(0.2%); CEBPA:#14(0.4%),2/2,2/2,Sebaceous gland
SWEAT-01,Eccrine sweat,Keratinocyte,Set 2 — Extended validation,EDA; EDAR pathway,2,,EDA; EDAR pathway,28089253,Lu,2017,Cell,skipped: unmappable target: Eccrine sweat,,,,Sweat gland regeneration
CHEMO-01,Chemosensory,Respiratory,Set 2 — Extended validation,POU2F3,1,,POU2F3,29466330,Gerbe,2018,Nature,skipped: unmappable target: Chemosensory,,,,Tuft/brush cell
ENTERO-01,Enteroendocrine,Intestinal stem,Set 2 — Extended validation,NEUROG3,1,NEUROG3,,22723222,Beucher,2012,Diabetes,scored,NEUROG3:#562(17.8%),0/1,0/1,Gut hormone cells
PANETH-01,Paneth cell,Intestinal stem,Set 2 — Extended validation,SOX9 + WNT,1,,SOX9 + WNT,21683702,Mori-Akiyama,2011,Gastroenterology,skipped: unmappable target: Paneth cell,,,,Antimicrobial cells
NK-01,NK cell,T cell,Set 2 — Extended validation,NFIL3; T-BET; EOMES,3,NFIL3; TBX21; EOMES,,various,Allan,2019,Nat Commun,scored,NFIL3:#186(5.9%); TBX21:#22(0.7%); EOMES:#3(0.1%),2/3,3/3,Innate immune
TREG-01,Regulatory T cell,CD4 T cell,Set 2 — Extended validation,FOXP3,1,FOXP3,,19965682,Allan,2010,Blood,scored,FOXP3:#66(2.1%),1/1,1/1,Immunosuppressive
TH17-01,Th17 cell,CD4 T cell,Set 2 — Extended validation,RORC; STAT3,2,RORC; STAT3,,17981122,Ivanov,2007,Cell,scored,RORC:#157(5.0%); STAT3:#145(4.6%),2/2,2/2,IL-17 producing
MAST-01,Mast cell,HSC,Set 2 — Extended validation,GATA1; GATA2; MITF,3,GATA1; GATA2; MITF,,various,various,2018,Blood,scored,GATA1:#3(0.1%); GATA2:#421(13.3%); MITF:#834(26.3%),1/3,1/3,Allergic inflammation
MEGAKARY-01,Megakaryocyte,Fibroblast,Set 2 — Extended validation,GATA1; TAL1; LMO2; FLI1; ERG; ETV6,6,GATA1; TAL1; LMO2; FLI1; ERG; ETV6,,29719259,Pulecio,2018,Cell Rep,scored,GATA1:#13(0.4%); TAL1:#205(6.5%); LMO2:#1422(44.9%); FLI1:#76(2.4%); ERG:#904(28.6%); ETV6:#262(8.3%),2/6,4/6,Platelet progenitor
PLASMA-01,Plasma cell,B cell,Set 2 — Extended validation,BLIMP1; IRF4; XBP1,3,PRDM1; IRF4; XBP1,,22790179,Nutt,2012,Nat Rev Immunol,scored,PRDM1:#97(3.1%); IRF4:#401(12.7%); XBP1:#229(7.2%),1/3,2/3,Antibody secreting
PROSTATE-01,Prostate epithelial,Fibroblast,Set 2 — Extended validation,AR; FOXA1; NKX3-1,3,,AR; FOXA1; NKX3-1,29769282,Park,2018,Cell Rep,skipped: unmappable target: Prostate epithelial,,,,Prostate lineage
MAMMARY-01,Mammary epithelial,Fibroblast,Set 2 — Extended validation,SLUG; SOX9,2,SNAI2; SOX9,,27293185,Guo,2016,Cell,scored,SNAI2:#94(3.0%); SOX9:#281(8.9%),1/2,2/2,Breast stem-like
UROTHELIUM-01,Urothelial,Fibroblast,Set 2 — Extended validation,PPARG; FOXA1; KLF5,3,PPARG; FOXA1; KLF5,,various,Osborn,2017,Eur Urol,scored,PPARG:#749(23.7%); FOXA1:#301(9.5%); KLF5:#62(2.0%),1/3,2/3,Bladder lining
PITUIT-01,Pituitary,Oral ectoderm,Set 2 — Extended validation,PITX1; LHX3; GATA2,3,,PITX1; LHX3; GATA2,21307846,Suga,2015,Nature,skipped: unmappable target: Pituitary,,,,Anterior pituitary
THYMOCYTE-01,T cell progenitor,HSC,Set 2 — Extended validation,NOTCH1 + DLL4,1,,NOTCH1 + DLL4,31907477,Seet,2020,Nat Methods,scored,NOTCH1 + DLL4:not_in_pool,,,T lineage commitment
LANGERHANS-01,Langerhans cell,Monocyte,Set 2 — Extended validation,TGFB1; GM-CSF,2,,TGFB1; CSF2,22729248,Chopin,2012,Nat Immunol,scored,TGFB1:not_in_pool; CSF2:not_in_pool,,,Skin dendritic
MESEN-STEM-01,MSC-like,Fibroblast,Set 2 — Extended validation,TWIST1; SNAI2,2,TWIST1; SNAI2,,various,various,2020,Cell Rep,scored,TWIST1:#61(1.9%); SNAI2:#41(1.3%),2/2,2/2,Mesenchymal stem properties
TENDON-01,Tenocyte,Fibroblast,Set 2 — Extended validation,SCX; MKX,2,SCX; MKX,,25921814,Liu,2015,Stem Cell Rep,scored,SCX:#1002(31.6%); MKX:#509(16.1%),0/2,0/2,Tendon repair
LIGAMENT-01,Ligament cell,MSC,Set 2 — Extended validation,SCX; SOX9,2,SCX; SOX9,,29960706,Chen,2018,Biomaterials,scored,SCX:#601(19.0%); SOX9:#53(1.7%),1/2,1/2,ACL-like cells
DISC-01,Nucleus pulposus,MSC,Set 2 — Extended validation,SOX9; FOXA2; BRACHYURY,3,SOX9; FOXA2,BRACHYURY,various,Sheyn,2019,Tissue Eng,scored,SOX9:#53(1.7%); FOXA2:#281(8.9%); BRACHYURY:not_in_pool,1/2,2/2,Intervertebral disc
PERIOSTEUM-01,Periosteal cell,MSC,Set 2 — Extended validation,RUNX2; OSX + mechanical,2,RUNX2; SP7,,various,various,2019,J Bone,scored,RUNX2:#20(0.6%); SP7:#6(0.2%),2/2,2/2,Bone lining
TUBULE-01,Renal tubular,Fibroblast,Set 2 — Extended validation,PAX2; SIX2; LHX1,3,PAX2; SIX2; LHX1,,31695163,Morizane,2020,Nat Rev Nephrol,scored,PAX2:#1(0.0%); SIX2:#17(0.5%); LHX1:#66(2.1%),3/3,3/3,Kidney tubule
PODOCYTE-01,Podocyte,Fibroblast,Set 2 — Extended validation,WT1; PAX2; LMX1B,3,WT1; PAX2; LMX1B,,various,various,2019,Kidney Int,scored,WT1:#12(0.4%); PAX2:#1(0.0%); LMX1B:#3(0.1%),3/3,3/3,Glomerular
LEYDIG-01,Leydig cell,MSC,Set 2 — Extended validation,SF1; GATA4; DMRT1,3,,SF1; GATA4; DMRT1,30700536,Chen,2019,PNAS,skipped: unmappable target: Leydig cell,,,,Testosterone producing
