cell_type,tissue_system,germ_layer,layer_id,os_analogy,cell_type_description,n_markers_in_catalog,marker_gene
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,DLX5
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,DLX6
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,GAD1
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,GAD2
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,LAMP5
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,LHX6
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,NOS1
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,NPY
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,PVALB
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,SLC32A1
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,SST
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,VIP
SCHWANN_CELL,Peripheral nerve,ECTODERM,4,PNS network cable insulation,Peripheral nerve myelin — myelination of peripheral axons,10,EGR2
SCHWANN_CELL,Peripheral nerve,ECTODERM,4,PNS network cable insulation,Peripheral nerve myelin — myelination of peripheral axons,10,MBP
SCHWANN_CELL,Peripheral nerve,ECTODERM,4,PNS network cable insulation,Peripheral nerve myelin — myelination of peripheral axons,10,MPZ
SCHWANN_CELL,Peripheral nerve,ECTODERM,4,PNS network cable insulation,Peripheral nerve myelin — myelination of peripheral axons,10,MTMR2
SCHWANN_CELL,Peripheral nerve,ECTODERM,4,PNS network cable insulation,Peripheral nerve myelin — myelination of peripheral axons,10,NDRG1
SCHWANN_CELL,Peripheral nerve,ECTODERM,4,PNS network cable insulation,Peripheral nerve myelin — myelination of peripheral axons,10,NGFR
SCHWANN_CELL,Peripheral nerve,ECTODERM,4,PNS network cable insulation,Peripheral nerve myelin — myelination of peripheral axons,10,PMP22
SCHWANN_CELL,Peripheral nerve,ECTODERM,4,PNS network cable insulation,Peripheral nerve myelin — myelination of peripheral axons,10,PRX
SCHWANN_CELL,Peripheral nerve,ECTODERM,4,PNS network cable insulation,Peripheral nerve myelin — myelination of peripheral axons,10,S100B
SCHWANN_CELL,Peripheral nerve,ECTODERM,4,PNS network cable insulation,Peripheral nerve myelin — myelination of peripheral axons,10,SOX10
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,ACTC1
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,GATA4
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,HAND1
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,HAND2
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,HCN4
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,ISL1
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,KCNH2
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,KCNQ1
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,MEF2C
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,MYBPC3
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,MYH6
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,MYH7
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,MYL2
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,MYL3
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,MYL7
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,NKX2-5
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,RYR2
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,SCN5A
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,TBX5
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,TNNC1
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,TNNI3
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,TNNT2
CARDIOMYOCYTE,Heart,MESODERM,5,Clock/timer hardware — autonomous rhythmic contraction,Heart muscle cells — contractile units with intrinsic pacemaker ability,23,TTN
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,CDH5
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,DLL4
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,EFNB2
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,ENG
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,EPHB4
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,ERG
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,FLI1
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,FLT1
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,ICAM1
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,KDR
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,MCAM
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,NOS3
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,NOTCH1
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,PECAM1
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,SELE
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,SELP
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,SOX17
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,SOX18
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,TEK
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,TIE1
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,VCAM1
ENDOTHELIAL,Vasculature,MESODERM,5,Network interface card — data bus lining,"Blood vessel lining — vascular barrier, angiogenesis",22,VWF
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,ALAS2
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,ANK1
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,EPB41
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,EPB42
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,EPOR
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,GATA1
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,GYPA
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,HBA1
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,HBA2
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,HBB
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,HBG1
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,HBG2
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,KLF1
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,SLC11A2
ERYTHROCYTE,Blood,MESODERM,5,Oxygen transport packet — carries O2/CO2 payload through network,Red blood cells — oxygen transport,15,SLC4A1
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,BMI1
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,CD34
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,ERG
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,FLT3
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,GATA2
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,GFI1
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,GFI1B
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,HLF
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,HOXA9
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,KIT
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,LMO2
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,MEIS1
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,MLLT3
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,RUNX1
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,SCA1
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,TAL1
HSC,Bone marrow,MESODERM,5,Master fork() — stem cell that spawns all blood/immune cell types,Hematopoietic stem cells — produce all blood cell lineages,17,THY1
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,F2R
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,F2RL3
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,GP1BA
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,GP1BB
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,GP5
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,GP9
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,ITGA2B
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,ITGB3
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,MPL
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,PF4
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,PPBP
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,SELP
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,TBXA2R
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,THBS1
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,TUBB1
PLATELET,Blood,MESODERM,5,Damage repair packet — seals pipe ruptures,Blood clotting fragments,16,VWF
SMOOTH_MUSCLE,Vasculature/GI,MESODERM,5,Pressure regulator — controls flow through pipes,Vascular and visceral smooth muscle,10,ACTA2
SMOOTH_MUSCLE,Vasculature/GI,MESODERM,5,Pressure regulator — controls flow through pipes,Vascular and visceral smooth muscle,10,ACTG2
SMOOTH_MUSCLE,Vasculature/GI,MESODERM,5,Pressure regulator — controls flow through pipes,Vascular and visceral smooth muscle,10,CALD1
SMOOTH_MUSCLE,Vasculature/GI,MESODERM,5,Pressure regulator — controls flow through pipes,Vascular and visceral smooth muscle,10,CNN1
SMOOTH_MUSCLE,Vasculature/GI,MESODERM,5,Pressure regulator — controls flow through pipes,Vascular and visceral smooth muscle,10,DES
SMOOTH_MUSCLE,Vasculature/GI,MESODERM,5,Pressure regulator — controls flow through pipes,Vascular and visceral smooth muscle,10,MYH11
SMOOTH_MUSCLE,Vasculature/GI,MESODERM,5,Pressure regulator — controls flow through pipes,Vascular and visceral smooth muscle,10,MYOCD
SMOOTH_MUSCLE,Vasculature/GI,MESODERM,5,Pressure regulator — controls flow through pipes,Vascular and visceral smooth muscle,10,SMTN
SMOOTH_MUSCLE,Vasculature/GI,MESODERM,5,Pressure regulator — controls flow through pipes,Vascular and visceral smooth muscle,10,SRF
SMOOTH_MUSCLE,Vasculature/GI,MESODERM,5,Pressure regulator — controls flow through pipes,Vascular and visceral smooth muscle,10,TAGLN
CHONDROCYTE,Cartilage,MESODERM,6,Shock absorber — flexible structural component,Cartilage cells,12,ACAN
CHONDROCYTE,Cartilage,MESODERM,6,Shock absorber — flexible structural component,Cartilage cells,12,COL11A1
CHONDROCYTE,Cartilage,MESODERM,6,Shock absorber — flexible structural component,Cartilage cells,12,COL11A2
CHONDROCYTE,Cartilage,MESODERM,6,Shock absorber — flexible structural component,Cartilage cells,12,COL2A1
CHONDROCYTE,Cartilage,MESODERM,6,Shock absorber — flexible structural component,Cartilage cells,12,COL9A1
CHONDROCYTE,Cartilage,MESODERM,6,Shock absorber — flexible structural component,Cartilage cells,12,COMP
CHONDROCYTE,Cartilage,MESODERM,6,Shock absorber — flexible structural component,Cartilage cells,12,FGFR3
CHONDROCYTE,Cartilage,MESODERM,6,Shock absorber — flexible structural component,Cartilage cells,12,GDF5
CHONDROCYTE,Cartilage,MESODERM,6,Shock absorber — flexible structural component,Cartilage cells,12,IHH
CHONDROCYTE,Cartilage,MESODERM,6,Shock absorber — flexible structural component,Cartilage cells,12,MATN3
CHONDROCYTE,Cartilage,MESODERM,6,Shock absorber — flexible structural component,Cartilage cells,12,PTH1R
CHONDROCYTE,Cartilage,MESODERM,6,Shock absorber — flexible structural component,Cartilage cells,12,SOX9
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,ACTA2
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,COL1A1
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,COL1A2
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,COL3A1
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,COL5A1
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,COL6A1
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,DCN
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,FAP
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,FN1
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,FSP1
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,LUM
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,PDGFRA
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,PDGFRB
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,S100A4
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,THY1
FIBROBLAST,Connective,MESODERM,6,Scaffolding builder — constructs extracellular matrix framework,Connective tissue cells — ECM production,16,VIM
OSTEOBLAST,Bone,MESODERM,6,Hardware fabricator — builds structural framework,Bone-forming cells,13,ALPL
OSTEOBLAST,Bone,MESODERM,6,Hardware fabricator — builds structural framework,Bone-forming cells,13,BGLAP
OSTEOBLAST,Bone,MESODERM,6,Hardware fabricator — builds structural framework,Bone-forming cells,13,BMP2
OSTEOBLAST,Bone,MESODERM,6,Hardware fabricator — builds structural framework,Bone-forming cells,13,BMP4
OSTEOBLAST,Bone,MESODERM,6,Hardware fabricator — builds structural framework,Bone-forming cells,13,COL1A1
OSTEOBLAST,Bone,MESODERM,6,Hardware fabricator — builds structural framework,Bone-forming cells,13,COL1A2
OSTEOBLAST,Bone,MESODERM,6,Hardware fabricator — builds structural framework,Bone-forming cells,13,DMP1
OSTEOBLAST,Bone,MESODERM,6,Hardware fabricator — builds structural framework,Bone-forming cells,13,IBSP
OSTEOBLAST,Bone,MESODERM,6,Hardware fabricator — builds structural framework,Bone-forming cells,13,PHEX
OSTEOBLAST,Bone,MESODERM,6,Hardware fabricator — builds structural framework,Bone-forming cells,13,RUNX2
OSTEOBLAST,Bone,MESODERM,6,Hardware fabricator — builds structural framework,Bone-forming cells,13,SOST
OSTEOBLAST,Bone,MESODERM,6,Hardware fabricator — builds structural framework,Bone-forming cells,13,SP7
