gene,category,n_in_category,category_description,source,note
PCNA,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
POLR2A,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
POLR2B,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
POLR2C,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
POLR2D,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
POLR2E,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
PRPF8,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
PSMA1,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
PSMA2,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
PSMA3,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
PSMB1,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
PSMB2,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
PSMB5,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RFC1,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPL11,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPL23,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPL26,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPL35A,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPL5,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPS14,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPS19,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPS2,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPS3,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPS5,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPS6,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPS8,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
RPS9,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
SF3A1,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
SF3B1,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
SNRPD1,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
TCP1,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
UBA1,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
UBB,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
UBC,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
ABCA4,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
ABCC8,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
ABCG5,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
ABCG8,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
ALK,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
APC,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
APOB,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
AR,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
ATM,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
ATP7A,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
ATP7B,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
BAP1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
BMPR1A,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
BRCA1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
BRCA2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
CACNA1A,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
CDH1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
CDK4,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
CDKN2A,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
CEBPA,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
CFTR,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
CHEK2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
COL1A1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
COL1A2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
COL2A1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
COL3A1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
DICER1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
DMD,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
DMPK,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
ELN,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
EMD,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
ETV6,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
F5,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
F8,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
F9,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
FBN1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
FGA,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
FGB,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
FGFR1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
FGFR2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
FGFR3,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
FGG,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
FMR1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
G6PD,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
GAA,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
GATA2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
GBA,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
GJB2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
GLA,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
GLI3,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
HBA1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
HBA2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
HBB,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
HEXA,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
HEXB,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
HTT,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
IDUA,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
KCNH2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
KCNJ11,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
KCNQ1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
KIT,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
LDLR,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
LMNA,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
MEN1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
MLH1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
MSH2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
MUTYH,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
MYO7A,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
NF1,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
NF2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
PALB2,OMIM_disease,113,Monogenic disease-causing genes (OMIM curated; pathogenic/likely pathogenic variants),OMIM; ClinVar; Online Mendelian Inheritance in Man (omim.org),Includes autosomal dominant/recessive and X-linked monogenic conditions
