cocktail_id,target_cell,source_cell,validation_set,factors_published,n_factors,factors_in_pool,factors_not_in_pool,pmid,first_author,year,journal,scoring_status,factor_ranks,top5_pct_recovery,top10_pct_recovery,notes
SET3-NEURON-03,GABAergic interneuron,Astrocyte,Set 3 — Blind held-out validation,DLX2,1,DLX2,,,PNAS 2022,2022,,scored,DLX2:#153(4.8%),1/1,1/1,Single factor multilineage reprogramming in vivo
SET3-NEURON-04,Parvalbumin interneuron,Astroglia,Set 3 — Blind held-out validation,ASCL1-SA6; BCL2,2,BCL2,ASCL1-SA6,,Sci Adv 2024,2024,,scored,ASCL1-SA6:not_in_pool; BCL2:#1721(54.4%),0/1,0/1,Phospho-site-deficient Ascl1 for fast-spiking neurons
SET3-NEURON-05,Neuron from astrocyte,Astrocyte,Set 3 — Blind held-out validation,SOX2,1,SOX2,,,Biomed Pharmacother 2024,2024,,scored,SOX2:#201(6.3%),0/1,1/1,Astrocyte-to-neuron in vivo after CNS injury
SET3-NEURON-06,Neuron from astrocyte,Astrocyte,Set 3 — Blind held-out validation,ASCL1,1,ASCL1,,,Biomed Pharmacother 2024,2024,,scored,ASCL1:#60(1.9%),1/1,1/1,Astrocyte-to-neuron reprogramming
SET3-NEURON-07,Neuron from astrocyte,Astrocyte,Set 3 — Blind held-out validation,PAX6,1,PAX6,,,Biomed Pharmacother 2024,2024,,scored,PAX6:#9(0.3%),1/1,1/1,Astrocyte-to-neuron reprogramming
SET3-NEURON-08,Neuron from astrocyte,Astrocyte,Set 3 — Blind held-out validation,NEUROD1,1,NEUROD1,,,Biomed Pharmacother 2024,2024,,scored,NEUROD1:#20(0.6%),1/1,1/1,Astrocyte-to-neuron reprogramming
SET3-NEURON-09,Neuron from astrocyte,Astrocyte,Set 3 — Blind held-out validation,NEUROG2,1,NEUROG2,,,Biomed Pharmacother 2024,2024,,scored,NEUROG2:#67(2.1%),1/1,1/1,Astrocyte-to-neuron reprogramming
SET3-NEURON-10,Neuron from astrocyte,Astrocyte,Set 3 — Blind held-out validation,NEUROD4,1,,NEUROD4,,Biomed Pharmacother 2024,2024,,scored,NEUROD4:not_in_pool,,,Astrocyte-to-neuron reprogramming
SET3-TREG-01,Regulatory T cell,CD4+ T conv,Set 3 — Blind held-out validation,FOXP3 transduction,1,FOXP3,,,Nobel Prize 2025 FOXP3 work,2025,,scored,FOXP3:#66(2.1%),1/1,1/1,Master TF for Treg - gain-of-function converts Tconv
SET3-TREG-02,iTreg,CD4+CD25- T cells,Set 3 — Blind held-out validation,IL-2; rapamycin; TGF-beta; anti-CD3,4,,IL-2; rapamycin; TGF-beta; anti-CD3,,PMC 2025 clinical trials,2025,,skipped: no gene factors,,,,iTreg generation protocol - multiple clinical trials
SET3-PODO-01,Podocyte progenitor,NPC,Set 3 — Blind held-out validation,ETV1; NR2F1; IGF2; SOX4,4,ETV1; NR2F1; SOX4,IGF2,,Mol Cell Biochem 2025,2025,,scored,ETV1:#248(7.8%); NR2F1:#983(31.0%); IGF2:not_in_pool; SOX4:#1010(31.9%),0/3,1/3,Key TFs for NPC-to-podocyte differentiation
SET3-OPC-01,OPC from astrocyte,Astrocyte,Set 3 — Blind held-out validation,Small molecules,1,,Small molecules,,Sharifi-Kelishadi et al 2024,2024,,skipped: no gene factors,,,,Small molecule-induced OPC for MS therapy
SET3-AT2-01,AT2 maintenance,AT2,Set 3 — Blind held-out validation,CEBPA,1,CEBPA,,,Nat Commun 2024,2024,,scored,CEBPA:#21(0.7%),1/1,1/1,C/EBPα restricts AT2 plasticity - NKX2-1 recruitment
SET3-AT2-02,AT2 regeneration,AT2,Set 3 — Blind held-out validation,TFCP2L1,1,TFCP2L1,,,Cell Stem Cell 2023,2023,,scored,TFCP2L1:#921(29.1%),0/1,0/1,Grainyhead TF times alveolar regeneration
SET3-mRegDC-01,mature regulatory DC,Fibroblast,Set 3 — Blind held-out validation,KLF4; REL; SOX2,3,KLF4; REL; SOX2,,,Cell Systems 2026,2026,,scored,KLF4:#436(13.8%); REL:#109(3.4%); SOX2:#1110(35.1%),1/3,1/3,mRegDC markers CD40 CD80 CD86 CD83
SET3-MYELOID-01,Monocyte/Macrophage,Fibroblast,Set 3 — Blind held-out validation,PU.1; IKZF2low; HHEX,3,SPI1; IKZF2; HHEX,,,Cell Systems 2026,2026,,scored,SPI1:#6(0.2%); IKZF2:#557(17.6%); HHEX:#30(0.9%),2/3,2/3,Myeloid lineage from 48-TF screen
SET3-PIT-01,Somatotroph,Pituitary progenitor,Set 3 — Blind held-out validation,PIT1,1,,PIT1,,Endocrine Society 2024,2024,,skipped: unmappable target: Somatotroph,,,,Pituitary TF - GH lineage
SET3-PIT-02,Corticotroph,Pituitary progenitor,Set 3 — Blind held-out validation,TPIT,1,,TPIT,,POMC lineage TF,2006,,skipped: unmappable target: Corticotroph,,,,ACTH-producing cells
SET3-PARATHYROID-01,Parathyroid,PSC-derived AFE,Set 3 — Blind held-out validation,Wnt3a; KGF; FGF10; BMP4; EGF with NKX2-1; PAX1,6,,Wnt3a; KGF; FGF10; BMP4; EGF with NKX2-1; PAX1,,Endocrinol Metab 2024,2024,,skipped: unmappable target: Parathyroid,,,,PTG generation from PSCs - requires AFE intermediate
