cocktail_id,target_cell,source_cell,validation_set,factors_published,n_factors,factors_in_pool,factors_not_in_pool,pmid,first_author,year,journal,scoring_status,factor_ranks,top5_pct_recovery,top10_pct_recovery,notes
NEURON-05,Motor neuron,Fibroblast,Set 1 — Training validation,ASCL1; BRN2; MYT1L; LHX3; ISL1; NGN2; HB9,7,ASCL1; POU3F2; MYT1L; LHX3; ISL1; NEUROG2; MNX1,,21852222,Son,2011,Cell Stem Cell,scored,ASCL1:#65(2.1%); POU3F2:#52(1.6%); MYT1L:#8(0.3%); LHX3:#1689(53.3%); ISL1:#492(15.5%); NEUROG2:#153(4.8%); MNX1:#205(6.5%),4/7,5/7,Spinal motor neurons
NEURON-06,Motor neuron,Fibroblast,Set 1 — Training validation,ASCL1; BRN2; MYT1L; ISL1; LHX3; NGN2; NEUROD1,7,ASCL1; POU3F2; MYT1L; ISL1; LHX3; NEUROG2; NEUROD1,,25772196,Son,2015,Cell Stem Cell,scored,ASCL1:#65(2.1%); POU3F2:#52(1.6%); MYT1L:#8(0.3%); ISL1:#492(15.5%); LHX3:#1689(53.3%); NEUROG2:#153(4.8%); NEUROD1:#25(0.8%),5/7,5/7,Human motor neurons
NEURON-07,Neural progenitor,Fibroblast,Set 1 — Training validation,SOX2; BRN2; FOXG1,3,SOX2; POU3F2; FOXG1,,22308465,Lujan,2012,PNAS,scored,SOX2:#122(3.9%); POU3F2:#47(1.5%); FOXG1:#1(0.0%),3/3,3/3,Tripotent neural progenitors
NEURON-08,Neural progenitor,Fibroblast,Set 1 — Training validation,SOX2,1,SOX2,,22226355,Ring,2012,Cell Stem Cell,scored,SOX2:#122(3.9%),1/1,1/1,Single factor neural progenitor
NEURON-09,Neuron (generic),Fibroblast,Set 1 — Training validation,ASCL1; BRN2; NGN2,3,ASCL1; POU3F2; NEUROG2,,22105488,Meng,2012,Cell Res,scored,ASCL1:#62(2.0%); POU3F2:#47(1.5%); NEUROG2:#139(4.4%),3/3,3/3,ABN factors - adenoviral
NEURON-10,Neuron (generic),Astrocyte,Set 1 — Training validation,NGN2,1,NEUROG2,,12040074,Berninger,2002,J Neurosci,scored,NEUROG2:#67(2.1%),1/1,1/1,Single TF astrocyte to neuron
NEURON-11,Neuron (generic),Astrocyte,Set 1 — Training validation,PAX6,1,PAX6,,11914719,Heins,2002,Nat Neurosci,scored,PAX6:#9(0.3%),1/1,1/1,Pioneer astrocyte conversion
NEURON-12,Neuron (generic),Astrocyte,Set 1 — Training validation,ASCL1,1,ASCL1,,17522321,Berninger,2007,J Neurosci,scored,ASCL1:#60(1.9%),1/1,1/1,Single factor in vivo
NEURON-13,Neuron (generic),Fibroblast,Set 1 — Training validation,BRN2; MYT1L; miR-124,3,POU3F2; MYT1L,,22017829,Ambasudhan,2012,Cell Stem Cell,scored,POU3F2:#47(1.5%); MYT1L:#7(0.2%),2/2,2/2,MicroRNA combination
NEURON-14,Neuron (generic),Fibroblast,Set 1 — Training validation,ASCL1; MYT1L; NEUROD2; miR-9/9*; miR-124,5,ASCL1; MYT1L; NEUROD2,,21892154,Yoo,2011,Nature,scored,ASCL1:#62(2.0%); MYT1L:#7(0.2%); NEUROD2:#4(0.1%),3/3,3/3,MicroRNA enhanced
NEURON-15,Neuron (generic),Hepatocyte,Set 1 — Training validation,ASCL1; BRN2; MYT1L,3,ASCL1; POU3F2; MYT1L,,21982234,Marro,2011,Cell Stem Cell,scored,ASCL1:#44(1.4%); POU3F2:#53(1.7%); MYT1L:#8(0.3%),3/3,3/3,Cross-germ layer conversion
NEURON-16,Neuron (generic),hESC/iPSC,Set 1 — Training validation,NGN1; NGN2,2,,NGN1; NGN2,28198444,Goparaju,2017,Sci Rep,skipped: unmappable source: hESC/iPSC,,,,mRNA-based rapid differentiation
NEURON-17,Neuron (generic),hESC/iPSC,Set 1 — Training validation,NGN2,1,,NGN2,23583763,Zhang,2013,Neuron,skipped: unmappable source: hESC/iPSC,,,,Single factor from PSC
NEURON-18,Neuron (in vivo),Astrocyte,Set 1 — Training validation,NEUROG2,1,NEUROG2,,24035354,Grande,2013,Cell Stem Cell,scored,NEUROG2:#67(2.1%),1/1,1/1,In vivo neocortex conversion
NEURON-19,GABAergic neuron,Fibroblast,Set 1 — Training validation,ASCL1; DLX2,2,ASCL1; DLX2,,28122230,Colasante,2017,Cell Rep,scored,ASCL1:#149(4.7%); DLX2:#137(4.3%),2/2,2/2,Inhibitory neuron subtype
NEURON-20,Serotonergic neuron,Fibroblast,Set 1 — Training validation,ASCL1; NKX2.2; FEV; GATA2; LMX1B,5,ASCL1; NKX2-2; FEV; GATA2; LMX1B,,26481321,Xu,2016,Mol Psychiatry,scored,ASCL1:#65(2.1%); NKX2-2:#74(2.3%); FEV:#853(26.9%); GATA2:#362(11.4%); LMX1B:#302(9.5%),2/5,3/5,5-HT neuron specification
CARDIO-01,Cardiomyocyte,Fibroblast,Set 1 — Training validation,GATA4; MEF2C; TBX5,3,GATA4; MEF2C; TBX5,,20691899,Ieda,2010,Cell,scored,GATA4:#10(0.3%); MEF2C:#149(4.7%); TBX5:#3(0.1%),3/3,3/3,GMT factors - landmark
CARDIO-02,Cardiomyocyte,Fibroblast,Set 1 — Training validation,GATA4; MEF2C; TBX5; HAND2,4,GATA4; MEF2C; TBX5; HAND2,,22660318,Song,2012,Nature,scored,GATA4:#10(0.3%); MEF2C:#149(4.7%); TBX5:#3(0.1%); HAND2:#24(0.8%),4/4,4/4,GHMT factors
CARDIO-03,Cardiomyocyte,Fibroblast,Set 1 — Training validation,MEF2C; MYOCD; TBX5,3,MEF2C; MYOCD; TBX5,,22902320,Protze,2012,J Mol Cell Cardiol,scored,MEF2C:#149(4.7%); MYOCD:#46(1.5%); TBX5:#3(0.1%),3/3,3/3,MMT alternative
CARDIO-04,Cardiomyocyte,Fibroblast,Set 1 — Training validation,GATA4; MEF2C; TBX5; MESP1; MYOCD,5,GATA4; MEF2C; TBX5; MESP1; MYOCD,,23861494,Wada,2013,PNAS,scored,GATA4:#10(0.3%); MEF2C:#149(4.7%); TBX5:#3(0.1%); MESP1:#35(1.1%); MYOCD:#46(1.5%),5/5,5/5,Human cardiac - 5 factors
CARDIO-05,Cardiomyocyte,Fibroblast,Set 1 — Training validation,GATA4; HAND2; TBX5; MYOCD; miR-1; miR-133,6,GATA4; HAND2; TBX5; MYOCD,,24927568,Nam,2014,PNAS,scored,GATA4:#10(0.3%); HAND2:#24(0.8%); TBX5:#3(0.1%); MYOCD:#46(1.5%),4/4,4/4,TF + microRNA combination
CARDIO-06,Cardiomyocyte,Fibroblast,Set 1 — Training validation,miR-1; miR-133; miR-208; miR-499,4,,miR-1; miR-133; miR-208; miR-499,22539765,Jayawardena,2012,Circ Res,skipped: no gene factors,,,,MicroRNA only
CARDIO-07,Cardiomyocyte (in vivo),Fibroblast,Set 1 — Training validation,GATA4; MEF2C; TBX5,3,GATA4; MEF2C; TBX5,,22596164,Qian,2012,Nature,scored,GATA4:#10(0.3%); MEF2C:#149(4.7%); TBX5:#3(0.1%),3/3,3/3,In vivo heart repair
CARDIO-08,Cardiomyocyte,Fibroblast,Set 1 — Training validation,MYOCD; SMAD6; TBX20,3,MYOCD; SMAD6; TBX20,,36993577,multiple,2023,bioRxiv,scored,MYOCD:#46(1.5%); SMAD6:#59(1.9%); TBX20:#5(0.2%),3/3,3/3,Mogrify-predicted novel combo
CARDIO-09,Cardiomyocyte,Fibroblast,Set 1 — Training validation,Chemical (9 compounds),1,,Chemical (9 compounds),27127239,Cao,2016,Science,skipped: no gene factors,,,,Chemical only conversion
CARDIO-10,Cardiomyocyte,Fibroblast,Set 1 — Training validation,GATA4; MEF2C; TBX5 + 2C inhibitors,3,GATA4; MEF2C; TBX5,,various,Tao,2023,Adv Sci,scored,GATA4:#10(0.3%); MEF2C:#149(4.7%); TBX5:#3(0.1%),3/3,3/3,Small molecule enhanced
HEPATO-01,Hepatocyte,Fibroblast,Set 1 — Training validation,HNF4A; FOXA1,2,HNF4A; FOXA1,,21716291,Sekiya,2011,Nature,scored,HNF4A:#5(0.2%); FOXA1:#29(0.9%),2/2,2/2,Two factor hepatic
HEPATO-02,Hepatocyte,Fibroblast,Set 1 — Training validation,GATA4; HNF1A; FOXA3,3,GATA4; HNF1A; FOXA3,,21562492,Huang,2011,Nature,scored,GATA4:#42(1.3%); HNF1A:#8(0.3%); FOXA3:#12(0.4%),3/3,3/3,Three factor hepatic
HEPATO-03,Hepatocyte,Fibroblast,Set 1 — Training validation,HNF1A; HNF4A; HNF6; ATF5; PROX1; CEBPA,6,HNF1A; HNF4A; ONECUT1; ATF5; PROX1; CEBPA,,24582926,Du,2014,Cell Stem Cell,scored,HNF1A:#8(0.3%); HNF4A:#5(0.2%); ONECUT1:#7(0.2%); ATF5:#10(0.3%); PROX1:#18(0.6%); CEBPA:#27(0.9%),6/6,6/6,Human hepatic - 6 factors
HEPATO-04,Hepatocyte,Fibroblast,Set 1 — Training validation,FOXA1; FOXA2; FOXA3 + chemical,3,FOXA1; FOXA2,,28388431,Guo,2017,Cell Stem Cell,scored,FOXA1:#29(0.9%); FOXA2:#22(0.7%),2/2,2/2,Single TF + chemicals
HEPATO-05,Hepatocyte (in vivo),Myofibroblast,Set 1 — Training validation,HNF1A; HNF4A; FOXA3,3,HNF1A; HNF4A; FOXA3,,27452176,Rezvani,2016,Cell Stem Cell,scored,HNF1A:#8(0.3%); HNF4A:#5(0.2%); FOXA3:#12(0.4%),3/3,3/3,In vivo liver repair
BETA-01,Pancreatic beta cell,Exocrine cell,Set 1 — Training validation,PDX1; NGN3; MAFA,3,,PDX1; NGN3; MAFA,18806926,Zhou,2008,Nature,skipped: unmappable source: Exocrine cell,,,,In vivo beta cell - landmark
BETA-02,Pancreatic beta cell,Hepatocyte,Set 1 — Training validation,PDX1,1,PDX1,,12692546,Ferber,2003,Nat Med,scored,PDX1:#1(0.0%),1/1,1/1,Single factor liver to beta
BETA-03,Pancreatic beta cell,Alpha cell,Set 1 — Training validation,PDX1; MAFA,2,PDX1; MAFA,,28614360,Furuyama,2017,Nature,scored,PDX1:#1(0.0%); MAFA:#10(0.3%),2/2,2/2,Alpha to beta conversion
BETA-04,Pancreatic beta cell,Fibroblast,Set 1 — Training validation,PDX1; NGN3; MAFA; PAX4,4,PDX1; NEUROG3; MAFA; PAX4,,27352486,Zhu,2016,Nat Commun,scored,PDX1:#1(0.0%); NEUROG3:#540(17.1%); MAFA:#10(0.3%); PAX4:#28(0.9%),3/4,3/4,Human fibroblast to beta
BLOOD-01,Blood progenitor,Fibroblast,Set 1 — Training validation,OCT4 (brief),1,POU5F1,,21057492,Szabo,2010,Nature,scored,POU5F1:#1173(37.0%),0/1,0/1,Transient pluripotency
BLOOD-02,Macrophage,B cell,Set 1 — Training validation,CEBPA; PU.1,2,CEBPA; SPI1,,15260993,Xie,2004,Cell,scored,CEBPA:#327(10.3%); SPI1:#10(0.3%),1/2,1/2,B to macrophage
BLOOD-03,Macrophage,Fibroblast,Set 1 — Training validation,PU.1; CEBPA; CEBPB,3,SPI1; CEBPA; CEBPB,,18458346,Feng,2008,PNAS,scored,SPI1:#6(0.2%); CEBPA:#244(7.7%); CEBPB:#87(2.7%),2/3,3/3,Fibroblast to macrophage
BLOOD-04,Hematopoietic progenitor,Fibroblast,Set 1 — Training validation,GATA2; GFI1B; cFOS; ERG,4,GATA2; FOS; ERG,GFI1B,24094325,Pereira,2013,Cell Stem Cell,scored,GATA2:#426(13.5%); GFI1B:not_in_pool; FOS:#1003(31.7%); ERG:#302(9.5%),0/3,1/3,Hemogenic conversion
BLOOD-05,Erythroid progenitor,Fibroblast,Set 1 — Training validation,GATA1; TAL1; LMO2; cMYC,4,GATA1; TAL1; LMO2; MYC,,various,Giarratana,2014,Nat Biotechnol,scored,GATA1:#1(0.0%); TAL1:#78(2.5%); LMO2:#2160(68.2%); MYC:#643(20.3%),2/4,2/4,RBC precursor
DC-01,Dendritic cell (cDC1),Fibroblast,Set 1 — Training validation,PU.1; IRF8; BATF3,3,SPI1; IRF8; BATF3,,29379199,Rosa,2018,Nat Immunol,scored,SPI1:#74(2.3%); IRF8:#121(3.8%); BATF3:#14(0.4%),3/3,3/3,PIB factors
DC-02,Dendritic cell (cDC2),Fibroblast,Set 1 — Training validation,PU.1; IRF4; BATF3,3,SPI1; IRF4; BATF3,,various,various,2022,Cell Syst,scored,SPI1:#74(2.3%); IRF4:#276(8.7%); BATF3:#14(0.4%),2/3,3/3,cDC2 specification
DC-03,Plasmacytoid DC,Fibroblast,Set 1 — Training validation,PU.1; IRF7; various,3,SPI1; IRF7,,various,various,2022,Cell Syst,scored,SPI1:#74(2.3%); IRF7:#46(1.5%),2/2,2/2,pDC specification
MUSCLE-01,Myoblast,Fibroblast,Set 1 — Training validation,MYOD1,1,MYOD1,,3690668,Davis,1987,Cell,scored,MYOD1:#12(0.4%),1/1,1/1,Original transdifferentiation
MUSCLE-02,Myoblast,Fibroblast,Set 1 — Training validation,MYOD1-VP64,1,MYOD1,,25900735,Kabadi,2015,Methods,scored,MYOD1:#12(0.4%),1/1,1/1,Enhanced human myogenic
MUSCLE-03,Smooth muscle,Fibroblast,Set 1 — Training validation,MYOCD; SRF,2,MYOCD; SRF,,12716972,Wang,2003,PNAS,scored,MYOCD:#2(0.1%); SRF:#49(1.5%),2/2,2/2,Smooth muscle conversion
GLIAL-01,OPC,Fibroblast,Set 1 — Training validation,SOX10; OLIG2; NKX6.2,3,SOX10; OLIG2; NKX6-2,,23334588,Najm,2013,Nat Biotechnol,scored,SOX10:#1889(59.7%); OLIG2:#45(1.4%); NKX6-2:#61(1.9%),2/3,2/3,Oligodendrocyte progenitor
GLIAL-02,OPC,Fibroblast,Set 1 — Training validation,SOX10; OLIG2; ZFP536,3,SOX10; OLIG2,ZFP536,23435746,Yang,2013,Nat Biotechnol,scored,SOX10:#1889(59.7%); OLIG2:#45(1.4%); ZFP536:not_in_pool,1/2,1/2,Alternative OPC combo
GLIAL-03,Schwann cell,Fibroblast,Set 1 — Training validation,SOX10; KROX20,2,SOX10; EGR2,,28700945,Mazzara,2017,Cell Rep,scored,SOX10:#1890(59.7%); EGR2:#1(0.0%),1/2,1/2,Myelinating Schwann cells
GLIAL-04,Astrocyte,Fibroblast,Set 1 — Training validation,NFIA; NFIB; SOX9,3,NFIA; NFIB; SOX9,,25458893,Caiazzo,2014,Stem Cell Rep,scored,NFIA:#1211(38.3%); NFIB:#158(5.0%); SOX9:#75(2.4%),2/3,2/3,Induced astrocytes
ENDO-01,Endothelial,Fibroblast,Set 1 — Training validation,ETV2; FLI1; ERG,3,ETV2; FLI1; ERG,,22770217,Ginsberg,2012,Cell,scored,ETV2:#240(7.6%); FLI1:#474(15.0%); ERG:#74(2.3%),1/3,2/3,Vascular endothelial
ENDO-02,Endothelial,Amniotic cell,Set 1 — Training validation,ETV2; FLI1; ERG,3,ETV2; FLI1; ERG,,25733851,Morita,2015,PNAS,scored,ETV2:#240(7.6%); FLI1:#474(15.0%); ERG:#74(2.3%),1/3,2/3,Human endothelial
ENDO-03,Microvascular endothelial,Keratinocyte,Set 1 — Training validation,SOX17; TAL1; SMAD1; IRF1; TCF7L1,5,SOX17; TAL1; SMAD1; IRF1; TCF7L1,,26780608,Rackham,2016,Nat Genet,scored,SOX17:#50(1.6%); TAL1:#927(29.3%); SMAD1:#1897(59.9%); IRF1:#382(12.1%); TCF7L1:#312(9.9%),1/5,2/5,Mogrify-validated novel
KERATO-01,Keratinocyte,Fibroblast,Set 1 — Training validation,FOXQ1; SOX9; MAFB; CDH1; FOS; REL,6,FOXQ1; SOX9; MAFB; FOS; REL,CDH1,26780608,Rackham,2016,Nat Genet,scored,FOXQ1:#41(1.3%); SOX9:#281(8.9%); MAFB:#76(2.4%); CDH1:not_in_pool; FOS:#128(4.0%); REL:#134(4.2%),4/5,5/5,Mogrify-validated novel
TSC-01,Trophoblast stem cell,hESC,Set 1 — Training validation,GATA2; GATA3; TFAP2C; KLF5; MYC,5,,GATA2; GATA3; TFAP2C; KLF5; MYC,various,various,2024,Development,skipped: unmappable target: Trophoblast stem cell,,,,5F trophoblast
TSC-02,Trophoblast stem cell,hESC,Set 1 — Training validation,GATA2; GATA3; MYC,3,,GATA2; GATA3; MYC,various,various,2024,Development,skipped: unmappable target: Trophoblast stem cell,,,,Minimal 3F trophoblast
ADIPO-01,Brown adipocyte,Fibroblast,Set 1 — Training validation,PRDM16; PPARG; CEBPB,3,PRDM16; PPARG; CEBPB,,18719582,Kajimura,2008,Nature,scored,PRDM16:#46(1.5%); PPARG:#6(0.2%); CEBPB:#457(14.4%),2/3,2/3,Brown fat conversion
ADIPO-02,White adipocyte,Fibroblast,Set 1 — Training validation,PPARG; CEBPA,2,PPARG; CEBPA,,7813015,Tontonoz,1994,Cell,scored,PPARG:#6(0.2%); CEBPA:#9(0.3%),2/2,2/2,Classic adipogenesis
CHONDRO-01,Chondrocyte,Fibroblast,Set 1 — Training validation,SOX9; KLF4; MYC,3,SOX9; KLF4; MYC,,21653613,Hiramatsu,2011,Development,scored,SOX9:#53(1.7%); KLF4:#403(12.7%); MYC:#908(28.7%),1/3,1/3,Induced chondrocyte
OSTEO-01,Osteoblast,Fibroblast,Set 1 — Training validation,RUNX2; OSTERIX,2,RUNX2; SP7,,various,various,2003,various,scored,RUNX2:#20(0.6%); SP7:#6(0.2%),2/2,2/2,Osteogenic conversion
RENAL-01,Nephron progenitor,Fibroblast,Set 1 — Training validation,SIX2; SALL1; HOXA11; OSR1; EYA1; PAX2,6,,SIX2; SALL1; HOXA11; OSR1; EYA1; PAX2,various,various,2019,Cell Stem Cell,skipped: unmappable target: Nephron progenitor,,,,Kidney progenitor
SERTOLI-01,Sertoli cell,Granulosa cell,Set 1 — Training validation,DMRT1 (loss of FOXL2),1,,DMRT1 (loss of FOXL2),20036979,Uhlenhaut,2009,Cell,skipped: unmappable target: Sertoli cell,,,,Sex reversal
GRANULOSA-01,Granulosa cell,Sertoli cell,Set 1 — Training validation,FOXL2 (loss of DMRT1),1,,FOXL2 (loss of DMRT1),21532571,Matson,2011,Nature,skipped: unmappable target: Granulosa cell,,,,Reverse sex conversion
